Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/23/2026 20:00,CAPITL,61757,47.00,1.41,0.00
09/23/2026 20:00,CENTRL,61754,44.57,-0.37,0.65
09/23/2026 20:00,DUNWOD,61760,47.86,2.28,0.00
09/23/2026 20:00,GENESE,61753,41.63,-2.19,1.77
09/23/2026 20:00,H Q,61844,45.63,0.05,0.00
09/23/2026 20:00,HUD VL,61758,47.54,1.96,0.00
09/23/2026 20:00,LONGIL,61762,48.23,2.64,0.00
09/23/2026 20:00,MHK VL,61756,47.54,1.96,0.00
09/23/2026 20:00,MILLWD,61759,47.68,2.10,0.00
09/23/2026 20:00,N.Y.C.,61761,47.81,2.23,0.00
09/23/2026 20:00,NORTH,61755,46.04,0.46,0.00
09/23/2026 20:00,NPX,61845,46.95,1.37,0.00
09/23/2026 20:00,O H,61846,38.66,-5.20,1.73
09/23/2026 20:00,PJM,61847,43.57,-1.23,0.79
09/23/2026 20:00,WEST,61752,38.82,-5.15,1.61
09/23/2026 21:00,CAPITL,61757,40.22,1.36,0.00
09/23/2026 21:00,CENTRL,61754,38.04,-0.46,0.36
09/23/2026 21:00,DUNWOD,61760,41.04,2.17,0.00
09/23/2026 21:00,GENESE,61753,35.70,-2.18,0.99
09/23/2026 21:00,H Q,61844,38.86,0.00,0.00
09/23/2026 21:00,HUD VL,61758,40.65,1.79,0.00
09/23/2026 21:00,LONGIL,61762,41.58,2.72,0.00
09/23/2026 21:00,MHK VL,61756,40.38,1.51,0.00
09/23/2026 21:00,MILLWD,61759,40.84,1.98,0.00
09/23/2026 21:00,N.Y.C.,61761,41.07,2.21,0.00
09/23/2026 21:00,NORTH,61755,39.10,0.23,0.00
09/23/2026 21:00,NPX,61845,40.30,1.44,0.00
09/23/2026 21:00,O H,61846,33.12,-4.78,0.96
09/23/2026 21:00,PJM,61847,36.50,-1.16,1.20
09/23/2026 21:00,WEST,61752,33.22,-4.74,0.90
09/23/2026 22:00,CAPITL,61757,38.93,1.28,0.00
09/23/2026 22:00,CENTRL,61754,36.80,-0.49,0.35
09/23/2026 22:00,DUNWOD,61760,39.94,2.30,0.00
09/23/2026 22:00,GENESE,61753,34.58,-2.11,0.96
09/23/2026 22:00,H Q,61844,37.65,0.00,0.00
09/23/2026 22:00,HUD VL,61758,39.53,1.88,0.00
09/23/2026 22:00,LONGIL,61762,39.94,2.30,0.00
09/23/2026 22:00,MHK VL,61756,39.00,1.35,0.00
09/23/2026 22:00,MILLWD,61759,39.72,2.07,0.00
09/23/2026 22:00,N.Y.C.,61761,40.13,2.48,0.00
09/23/2026 22:00,NORTH,61755,37.87,0.23,0.00
09/23/2026 22:00,NPX,61845,39.00,1.35,0.00
09/23/2026 22:00,O H,61846,32.26,-4.44,0.94
09/23/2026 22:00,PJM,61847,30.00,-1.01,6.63
09/23/2026 22:00,WEST,61752,32.28,-4.48,0.88
09/23/2026 23:00,CAPITL,61757,34.96,1.02,0.00
09/23/2026 23:00,CENTRL,61754,33.55,-0.24,0.16
09/23/2026 23:00,DUNWOD,61760,35.71,1.76,0.00
09/23/2026 23:00,GENESE,61753,32.19,-1.32,0.43
09/23/2026 23:00,H Q,61844,33.95,0.00,0.00
09/23/2026 23:00,HUD VL,61758,35.44,1.49,0.00
09/23/2026 23:00,LONGIL,61762,35.68,1.73,0.00
09/23/2026 23:00,MHK VL,61756,35.17,1.22,0.00
09/23/2026 23:00,MILLWD,61759,35.58,1.63,0.00
09/23/2026 23:00,N.Y.C.,61761,35.95,2.00,0.00
09/23/2026 23:00,NORTH,61755,34.19,0.24,0.00
09/23/2026 23:00,NPX,61845,35.00,1.05,0.00
09/23/2026 23:00,O H,61846,30.82,-2.72,0.41
09/23/2026 23:00,PJM,61847,28.97,-0.54,4.43
09/23/2026 23:00,WEST,61752,30.88,-2.68,0.39
